state	power	likelihood
300	1	-8444.99
400	1	-8449.56
500	1	-8451.26
600	1	-8452.2
700	1	-8453.3
800	1	-8439.62
900	1	-8446.05
1000	1	-8448.89
300	0.903921	-8452.78
400	0.903921	-8454.17
500	0.903921	-8447.41
600	0.903921	-8453.87
700	0.903921	-8448.43
800	0.903921	-8448.88
900	0.903921	-8460.66
1000	0.903921	-8457.83
300	0.815373	-8445.23
400	0.815373	-8455.92
500	0.815373	-8479
600	0.815373	-8468.18
700	0.815373	-8467.69
800	0.815373	-8450.79
900	0.815373	-8447.42
1000	0.815373	-8466.71
300	0.733904	-8459.8
400	0.733904	-8457.75
500	0.733904	-8456.08
600	0.733904	-8461.87
700	0.733904	-8450.47
800	0.733904	-8447.45
900	0.733904	-8450.78
1000	0.733904	-8462.65
300	0.659082	-8468.04
400	0.659082	-8476.21
500	0.659082	-8469.27
600	0.659082	-8470.95
700	0.659082	-8491.9
800	0.659082	-8467.91
900	0.659082	-8459.66
1000	0.659082	-8456.72
300	0.59049		-8473.81
400	0.59049		-8460.78
500	0.59049		-8469.08
600	0.59049		-8482.33
700	0.59049		-8464.71
800	0.59049		-8490.68
900	0.59049		-8462.26
1000	0.59049		-8486.94
300	0.527732	-8490.07
400	0.527732	-8469.06
500	0.527732	-8482.08
600	0.527732	-8478.08
700	0.527732	-8499.82
800	0.527732	-8471.88
900	0.527732	-8463.84
1000	0.527732	-8496.26
300	0.470427	-8496.29
400	0.470427	-8484.47
500	0.470427	-8510.28
600	0.470427	-8492.42
700	0.470427	-8509.39
800	0.470427	-8473.69
900	0.470427	-8481.85
1000	0.470427	-8485.87
300	0.418212	-8521.72
400	0.418212	-8544.62
500	0.418212	-8510.24
600	0.418212	-8519.05
700	0.418212	-8502.74
800	0.418212	-8539.68
900	0.418212	-8514.73
1000	0.418212	-8522.98
300	0.37074		-8546.11
400	0.37074		-8534.4
500	0.37074		-8548.14
600	0.37074		-8511.84
700	0.37074		-8528.24
800	0.37074		-8510.77
900	0.37074		-8512.89
1000	0.37074		-8517.28
300	0.32768		-8533.31
400	0.32768		-8546.43
500	0.32768		-8549.43
600	0.32768		-8523.2
700	0.32768		-8543.87
800	0.32768		-8542.88
900	0.32768		-8525.37
1000	0.32768		-8537.43
300	0.288717	-8552.91
400	0.288717	-8578.66
500	0.288717	-8590.41
600	0.288717	-8555.14
700	0.288717	-8562.63
800	0.288717	-8579.41
900	0.288717	-8602.14
1000	0.288717	-8540.83
300	0.253553	-8586.8
400	0.253553	-8557.47
500	0.253553	-8638.38
600	0.253553	-8590.11
700	0.253553	-8608.74
800	0.253553	-8571.5
900	0.253553	-8594.93
1000	0.253553	-8559.39
300	0.221901	-8628.5
400	0.221901	-8621.06
500	0.221901	-8601.47
600	0.221901	-8669.04
700	0.221901	-8630.8
800	0.221901	-8617.37
900	0.221901	-8593.69
1000	0.221901	-8587.32
300	0.193492	-8639.69
400	0.193492	-8642.77
500	0.193492	-8650.4
600	0.193492	-8618.37
700	0.193492	-8648.5
800	0.193492	-8691.28
900	0.193492	-8609.85
1000	0.193492	-8656.89
300	0.16807		-8652.74
400	0.16807		-8635.33
500	0.16807		-8654.1
600	0.16807		-8659.54
700	0.16807		-8680.8
800	0.16807		-8696.84
900	0.16807		-8734.64
1000	0.16807		-8725.79
300	0.145393	-8804.86
400	0.145393	-8758.05
500	0.145393	-8731.92
600	0.145393	-8762.73
700	0.145393	-8739.43
800	0.145393	-8729.67
900	0.145393	-8739.4
1000	0.145393	-8729.55
300	0.125233	-8882.77
400	0.125233	-8776.09
500	0.125233	-8893.12
600	0.125233	-8891.06
700	0.125233	-8703.05
800	0.125233	-8849.91
900	0.125233	-8848.92
1000	0.125233	-8872.11
300	0.107374	-8884.96
400	0.107374	-8894.5
500	0.107374	-8883.65
600	0.107374	-8895.2
700	0.107374	-8884.74
800	0.107374	-8882.49





