state	power	likelihood
300	1	-10001.3
400	1	-9989.19
500	1	-10001.9
600	1	-9995.37
700	1	-9994.09
800	1	-9992.42
900	1	-9991.47
1000	1	-9989.16
300	0.903921	-9996.8
400	0.903921	-9993.23
500	0.903921	-9988.96
600	0.903921	-9991.77
700	0.903921	-9991.85
800	0.903921	-9989.2
900	0.903921	-9997.21
1000	0.903921	-9994.72
300	0.815373	-9996.68
400	0.815373	-9993.14
500	0.815373	-9992.9
600	0.815373	-9998.51
700	0.815373	-9994.96
800	0.815373	-9989.8
900	0.815373	-9998.33
1000	0.815373	-9991.01
300	0.733904	-9997.59
400	0.733904	-10000.4
500	0.733904	-10005.2
600	0.733904	-9998.41
700	0.733904	-9995.05
800	0.733904	-9999.32
900	0.733904	-10000.9
1000	0.733904	-9998.37
300	0.659082	-9996.97
400	0.659082	-9993.51
500	0.659082	-9995.88
600	0.659082	-10004
700	0.659082	-9995.23
800	0.659082	-9995.42
900	0.659082	-9993.32
1000	0.659082	-10000.7
300	0.59049	-9995.01
400	0.59049	-10003.8
500	0.59049	-10007.2
600	0.59049	-10007.6
700	0.59049	-10001.1
800	0.59049	-10001.1
900	0.59049	-9995.93
1000	0.59049	-9997.32
300	0.527732	-9997.38
400	0.527732	-9999.88
500	0.527732	-10000.3
600	0.527732	-9999.23
700	0.527732	-10004.4
800	0.527732	-9998.96
900	0.527732	-10010.9
1000	0.527732	-9998.87
300	0.470427	-10005.1
400	0.470427	-9993.87
500	0.470427	-10001.8
600	0.470427	-10005.4
700	0.470427	-10005.9
800	0.470427	-9995.3
900	0.470427	-9998.36
1000	0.470427	-10003.7
300	0.418212	-9998.35
400	0.418212	-9998.12
500	0.418212	-10004.3
600	0.418212	-10008.4
700	0.418212	-10012
800	0.418212	-10014.9
900	0.418212	-10001.5
1000	0.418212	-10017
300	0.37074		-10015.4
400	0.37074		-10013.1
500	0.37074		-10014.2
600	0.37074		-10005.4
700	0.37074		-10007.5
800	0.37074		-10019.3
900	0.37074		-10012.2
1000	0.37074		-10010.3
300	0.32768		-10016.6
400	0.32768		-10012.6
500	0.32768		-10007.4
600	0.32768		-9996.14
700	0.32768		-9998.81
800	0.32768		-10000.8
900	0.32768		-10010.6
1000	0.32768		-10007.2
300	0.288717	-10018.9
400	0.288717	-10029.2
500	0.288717	-10008.5
600	0.288717	-10011.2
700	0.288717	-10021.3
800	0.288717	-10028.9
900	0.288717	-10027.2
1000	0.288717	-10023.4
300	0.253553	-10015.4
400	0.253553	-10013
500	0.253553	-10018.8
600	0.253553	-10019.2
700	0.253553	-10011.2
800	0.253553	-10017.5
900	0.253553	-10018.1
1000	0.253553	-10016.7
300	0.221901	-10021
400	0.221901	-10026.1
500	0.221901	-10044.9
600	0.221901	-10020.7
700	0.221901	-10036.6
800	0.221901	-10045.1
900	0.221901	-10026.9
1000	0.221901	-10061.3
300	0.193492	-10021.7
400	0.193492	-10026.6
500	0.193492	-10025.3
600	0.193492	-10029.2
700	0.193492	-10058.2
800	0.193492	-10031.6
900	0.193492	-10051.6
1000	0.193492	-10038.1
300	0.16807		-10019.7
400	0.16807		-10035.4
500	0.16807		-10016.7
600	0.16807		-10028.3
700	0.16807		-10061.7
800	0.16807		-10024.7
900	0.16807		-10036.4
1000	0.16807		-10033.5
300	0.145393	-10057.7
400	0.145393	-10051.3
500	0.145393	-10031.5
600	0.145393	-10053.4
700	0.145393	-10058
800	0.145393	-10054.1
900	0.145393	-10038.2
1000	0.145393	-10041.4
300	0.125233	-10090.5
400	0.125233	-10023.8
500	0.125233	-10110.9
600	0.125233	-10030.8
700	0.125233	-10108.4
800	0.125233	-10048.8
900	0.125233	-10029.7
1000	0.125233	-10067.7
300	0.107374	-10133.7
400	0.107374	-10057.4
500	0.107374	-10066.8
600	0.107374	-10054.8
700	0.107374	-10129.9
800	0.107374	-10099.2
900	0.107374	-10063
1000	0.107374	-10069.8


