Species,Type
Abroscopus_albogularis,dome
Abroscopus_schisticeps,cup
Abroscopus_superciliaris,cup
Acanthagenys_rufogularis,cup
Acanthidops_bairdii,cup
Acanthisitta_chloris,cavity
Acanthiza_apicalis,dome
Acanthiza_chrysorrhoa,dome
Acanthiza_ewingii,dome
Acanthiza_inornata,dome
Acanthiza_iredalei,dome
Acanthiza_katherina,dome
Acanthiza_lineata,dome
Acanthiza_murina,dome
Acanthiza_nana,dome
Acanthiza_pusilla,dome
Acanthiza_reguloides,dome
Acanthiza_robustirostris,dome
Acanthiza_uropygialis,dome
Acanthorhynchus_superciliosus,cup
Acanthorhynchus_tenuirostris,cup
Acanthornis_magna,dome
Achaetops_pycnopygius,cup
Acridotheres_albocinctus,cavity
Acridotheres_burmannicus,cavity
Acridotheres_cinereus,cavity
Acridotheres_cristatellus,cavity
Acridotheres_fuscus,cavity
Acridotheres_ginginianus,cavity
Acridotheres_grandis,cavity
Acridotheres_javanicus,cavity
Acridotheres_melanopterus,cavity
Acridotheres_tristis,cavity
Acrobatornis_fonsecai,dome
Acrocephalus_aedon,cup
Acrocephalus_aequinoctialis,cup
Acrocephalus_agricola,cup
Acrocephalus_arundinaceus,cup
Acrocephalus_atyphus,cup
Acrocephalus_australis,cup
Acrocephalus_baeticatus,cup
Acrocephalus_bistrigiceps,cup
Acrocephalus_caffer,cup
Acrocephalus_concinens,cup
Acrocephalus_dumetorum,cup
Acrocephalus_familiaris,cup
Acrocephalus_gracilirostris,cup
Acrocephalus_kerearako,cup
Acrocephalus_melanopogon,cup
Acrocephalus_mendanae,cup
Acrocephalus_newtoni,cup
Acrocephalus_orientalis,cup
Acrocephalus_paludicola,cup
Acrocephalus_palustris,cup
Acrocephalus_rufescens,cup
Acrocephalus_schoenobaenus,cup
Acrocephalus_scirpaceus,cup
Acrocephalus_sechellensis,cup
Acrocephalus_stentoreus,cup
Acrocephalus_taiti,cup
Acrocephalus_vaughani,cup
Actinodura_egertoni,cup
Actinodura_nipalensis,cup
Actinodura_ramsayi,cup
Aegithalos_bonvaloti,dome
Aegithalos_caudatus,dome
Aegithalos_concinnus,dome
Aegithalos_iouschistos,dome
Aegithalos_leucogenys,dome
Aegithalos_niveogularis,dome
Aegithina_tiphia,cup
Aethopyga_boltoni,dome
Aethopyga_christinae,dome
Aethopyga_duyvenbodei,dome
Aethopyga_flagrans,dome
Aethopyga_primigenia,dome
Aethopyga_siparaja,dome
Agelaioides_badius,cup
Agelaius_humeralis,cup
Agelaius_phoeniceus,cup
Agelaius_tricolor,cup
Agelaius_xanthomus,cup
Agelasticus_cyanopus,cup
Agelasticus_thilius,cup
Agelasticus_xanthophthalmus,cup
Agriornis_micropterus,cup
Agriornis_murinus,cup
Sturnia_philippensis,cavity
Sturnia_sturnina,cavity
Ailuroedus_crassirostris,cup
Ailuroedus_melanotis,cup
Aimophila_rufescens,cup
Aimophila_ruficeps,cup
Alaemon_alaudipes,cup
Alario_alario,cup
Alauda_arvensis,cup
Alauda_gulgula,cup
Alcippe_grotei,cup
Alcippe_morrisonia,cup
Alcippe_peracensis,cup
Alcippe_poioicephala,cup
Aleadryas_rufinucha,cup
Alectrurus_risora,cup
Alectrurus_tricolor,cup
Alethe_castanea,cavity
Alethe_diademata,cavity or cup
Alophoixus_bres,cup
Alophoixus_flaveolus,cup
Alophoixus_ochraceus,cup
Alophoixus_pallidus,cup
Alopochelidon_fucata,cavity
Amadina_erythrocephala,cavity
Amadina_fasciata,cavity or dome
Amalocichla_incerta,cup
Amandava_amandava,dome
Sporaeginthus_subflavus,dome
Amaurospiza_moesta,cup
Amblycercus_holosericeus,cup
Amblyornis_inornata,cup
Amblyornis_macgregoriae,cup
Amblyornis_subalaris,cup
Amblyospiza_albifrons,dome
Amblyramphus_holosericeus,cup
Ammodramus_aurifrons,cup
Ammodramus_bairdii,cup
Ammodramus_caudacutus,cup
Ammodramus_henslowii,cup
Ammodramus_humeralis,cup
Ammodramus_leconteii,cup
Ammodramus_maritimus,cup
Ammodramus_nelsoni,cup
Ammodramus_savannarum,cup
Ammomanes_cinctura,cup
Ammomanes_deserti,cup
Ammomanes_phoenicura,cup
Ammomanopsis_grayi,cup or dome
Ampeliceps_coronatus,cavity
Ampelion_rubrocristatus,cup
Ampelion_rufaxilla,cup
Amphispiza_bilineata,cup
Amphispiza_quinquestriata,cup
Amytornis_ballarae,dome
Amytornis_barbatus,dome
Amytornis_dorotheae,dome
Amytornis_goyderi,dome
Amytornis_housei,dome
Amytornis_purnelli,dome
Amytornis_striatus,dome
Amytornis_textilis,dome
Amytornis_woodwardi,dome
Anabacerthia_striaticollis,cavity
Anabazenops_dorsalis,cavity
Anabazenops_fuscus,cavity
Anairetes_alpinus,cup
Anairetes_flavirostris,cup
Anairetes_parulus,cup
Stelgidillas_gracilirostris,cup
Eurillas_gracilis,cup
Andropadus_importunus,cup
Eurillas_latirostris,cup
Arizelocichla_masukuensis,cup
Arizelocichla_milanjensis,cup
Arizelocichla_nigriceps,cup
Arizelocichla_tephrolaemus,cup
Eurillas_virens,cup
Anisognathus_melanogenys,cup
Anisognathus_notabilis,cup
Anisognathus_somptuosus,cup
Anomalospiza_imberbis,dome
Anthochaera_carunculata,cup
Anthochaera_chrysoptera,cup
Anthochaera_lunulata,cup
Anthochaera_paradoxa,cup
Anthochaera_phrygia,cup
Hedydipna_collaris,dome
Anthornis_melanura,cavity or cup
Anthoscopus_minutus,dome
Anthreptes_malacensis,dome
Anthreptes_orientalis,dome
Anthreptes_rectirostris,dome
