Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction_alpha[1]	extinction_alpha[2]	extinction_alpha[3]	extinction_beta[1]	extinction_beta[2]	hidden_rate1	hidden_rate2	q_12	q_13	q_21	q_23	q_31	q_32	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	rate_category_prior[6]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation_alpha[1]	speciation_alpha[2]	speciation_alpha[3]	speciation_beta[1]	speciation_beta[2]
0	-8382.7	-8380.6	-2.10586	0.0492366	0.0614818	0.0380009	0.00698925	0.00872749	0.00539432	-3.01112	-2.78901	-3.27014	-1.95226	1.29266	4.358439	0.008684303	0.0002804293	0.0001530583	0.1481165	0.001332491	0.003461804	0.2532941	0.0807389	0.212553	0.000621775	0.101113	0.272944	0.332029	0.011114	0.110374	0.235193	0.0150089	0.149054	0.317616	-4.49955	-2.20388	-1.44735	0.300436	0.595154
1	-8378.44	-8373.41	-5.03558	0.0448654	0.021776	0.0380009	0.0038302	0.00185904	0.00324417	-3.10409	-3.82695	-3.27014	-2.46075	1.29266	4.358439	0.005228334	0.0002804293	0.0001530583	0.133408	0.001332491	0.004969157	0.2532941	0.0940327	0.404724	0.00114172	0.185666	0.0747349	0.239701	0.0105734	0.102111	0.220099	0.0143691	0.138768	0.299113	-4.54942	-2.2817	-1.51368	0.306743	1.31063
2	-8377.72	-8371.18	-6.54472	0.0476292	0.021776	0.0326623	0.00325691	0.00148906	0.00223347	-3.04431	-3.82695	-3.42153	-2.68267	1.51171	5.302257	0.004230443	0.0002804293	0.0001029673	0.1334426	0.001388291	0.007137386	0.2433659	0.220535	0.312491	0.000881534	0.143354	0.0728744	0.249863	0.0131842	0.104743	0.220099	0.0177	0.14062	0.295488	-4.32874	-2.25625	-1.51368	0.29455	1.31063
3	-8380.21	-8374.2	-6.0036	0.049539	0.021776	0.0249587	0.00192218	0.000844936	0.000968429	-3.00499	-3.82695	-3.69053	-3.2493	1.85712	1.891631	0.002408745	0.0003142041	0.0004306919	0.1517929	0.001561745	0.002473669	0.2433659	0.243188	0.241873	0.000972082	0.158079	0.0803598	0.275528	0.0131842	0.0986868	0.209483	0.0177	0.132489	0.281236	-4.32874	-2.3158	-1.56311	0.29455	1.31063
4	-8376.31	-8372.03	-4.28672	0.049539	0.0162946	0.100765	0.00192218	0.000632249	0.00390982	-3.00499	-4.11692	-2.29496	-3.2493	0.674522	0.9226229	0.0006765496	0.0001323933	0.0004306919	0.154226	0.001561745	0.0004598388	0.2433659	0.243356	0.242041	0.000279564	0.158189	0.0804155	0.275719	0.0131842	0.108416	0.212571	0.0174638	0.143607	0.281572	-4.32874	-2.22178	-1.54848	0.281112	3.79602
5	-8374.37	-8370.45	-3.92568	0.049539	0.0149972	0.100765	0.00194457	0.000588692	0.00395538	-3.00499	-4.19989	-2.29496	-3.23772	0.674522	4.102096	0.002410804	0.0005758811	0.0004306919	0.154226	0.003083611	1.862119e-05	0.2505186	0.16209	0.161214	0.000186207	0.439303	0.0535616	0.183646	0.0153878	0.108416	0.221346	0.021277	0.149908	0.306059	-4.17418	-2.22178	-1.50803	0.324051	0.84829
6	-8377.39	-8371.31	-6.07796	0.049539	0.0149972	0.125864	0.00194457	0.000588692	0.00494057	-3.00499	-4.19989	-2.07256	-3.23772	0.674522	5.948302	0.006268829	0.001393703	0.000366348	0.154226	0.003729859	5.924823e-05	0.2615906	0.18822	0.0332405	0.000216224	0.510121	0.062196	0.206006	0.0177268	0.108416	0.221346	0.0251564	0.153854	0.314115	-4.03268	-2.22178	-1.50803	0.350035	0.256671
7	-8373.69	-8375.48	1.79433	0.0728818	0.072877	0.0384155	0.00803462	0.00803408	0.00423499	-2.61892	-2.61898	-3.25929	-2.20508	0.674522	5.05008	0.006268829	2.402621e-05	0.000366348	0.1469611	0.0001942729	0.0001813064	0.2615906	0.182941	0.0602004	0.00036645	0.495813	0.0604515	0.200228	0.0177268	0.112332	0.219546	0.0251564	0.159412	0.311561	-4.03268	-2.1863	-1.51619	0.350035	0.256671
8	-8370.25	-8374.89	4.64015	0.0506812	0.0718078	0.0384155	0.00325715	0.0046149	0.00246887	-2.9822	-2.63376	-3.25929	-2.7447	0.100584	0.3207163	0.0003603736	0.0001044665	0.0002086557	0.1469611	0.0001942729	0.0001241493	0.253376	0.192424	0.0114836	0.000385446	0.521515	0.0635851	0.210607	0.0134969	0.100184	0.230115	0.0180446	0.133942	0.307653	-4.3053	-2.30074	-1.46918	0.290392	0.256671
9	-8371.2	-8372.6	1.39454	0.0506812	0.0622645	0.145645	0.00375186	0.00460936	0.0107819	-2.9822	-2.77636	-1.92659	-2.6033	-0.00709394	1.35836	0.0002523507	0.0001044665	0.0002086557	0.1449197	0.001397655	0.002135363	0.2280505	0.188408	0.0321154	0.000377401	0.51063	0.062258	0.206212	0.0189947	0.100184	0.22204	0.0253283	0.13359	0.296077	-3.9636	-2.30074	-1.5049	0.287761	1.38524
10	-8374.03	-8374.16	0.126218	0.0478668	0.0622645	0.145645	0.00354352	0.00460936	0.0107819	-3.03933	-2.77636	-1.92659	-2.6033	-0.414329	1.159587	0.0002098146	0.0001044665	0.0002086557	0.1449197	0.00116094	0.01348675	0.2285269	0.141507	0.27305	0.000283455	0.38352	0.0467602	0.15488	0.0132878	0.111919	0.22204	0.0177184	0.149237	0.296077	-4.32091	-2.18998	-1.5049	0.287761	1.38524
11	-8375.73	-8374.48	-1.25609	0.0598473	0.020135	0.145645	0.00443042	0.00149056	0.0107819	-2.81596	-3.9053	-1.92659	-2.6033	-0.414329	1.207882	0.0002098146	0.0001044665	0.001030733	0.1378295	0.00116094	0.01348675	0.2116606	0.151297	0.222761	0.000303064	0.41005	0.0499949	0.165594	0.0157195	0.101378	0.227041	0.0194605	0.125505	0.281074	-4.15286	-2.2889	-1.48262	0.213486	1.48054
12	-8371.47	-8372.9	1.42696	0.0607169	0.00987529	0.215206	0.00449479	0.000731055	0.0159314	-2.80153	-4.61772	-1.53616	-2.6033	-0.414329	0.319128	0.0002098146	7.997215e-07	0.001030733	0.1378295	0.00116094	0.00122508	0.2228496	0.0993937	0.190531	0.000199097	0.568246	0.032844	0.108786	0.0151273	0.101378	0.227041	0.0197621	0.132439	0.296604	-4.19126	-2.2889	-1.48262	0.267265	1.99005
13	-8372.92	-8375.64	2.72693	0.0607169	0.0550816	0.0422833	0.00449479	0.00407762	0.00313018	-2.80153	-2.89894	-3.16336	-2.6033	-0.414329	0.154167	0.0002098146	4.278954e-06	0.001134506	0.1489038	0.001293746	0.0006594552	0.2267446	0.0993937	0.190531	0.000199097	0.568246	0.032844	0.108786	0.0151273	0.110924	0.216254	0.0191114	0.140138	0.27321	-4.19126	-2.19891	-1.5313	0.233786	1.99005
14	-8370.27	-8371.8	1.52936	0.0343562	0.0335474	0.0180085	0.00254334	0.00248347	0.00133314	-3.37097	-3.39479	-4.01691	-2.6033	-1.54178	0.1113122	2.73068e-05	6.110928e-06	0.0001335224	0.1489038	0.001293746	0.0006594552	0.2347922	0.0890848	0.274488	0.000178447	0.509308	0.0294375	0.0975031	0.0151273	0.105552	0.218009	0.0191114	0.133351	0.275426	-4.19126	-2.24855	-1.52322	0.233786	1.37839
