Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extra	log_speciation[1]	log_speciation[2]	log_speciation[3]	q_12	q_13	q_21	q_23	q_31	q_32	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	speciation[1]	speciation[2]	speciation[3]
0	-17545.67	-17540.9	-4.766116	0.255763	0.255763	0.255763	0.1641777	-2.16734	-2.16734	-2.16734	1.062021	0.1966968	1.06964	0.04010528	0.4914272	0.07724921	0.0258796	0.159758	0.814362	0.114482	0.114482	0.114482
1	-16503.51	-16499.34	-4.16894	0.238441	0.253462	0.255191	0.1468554	-2.16734	-2.01547	-1.99938	1.062021	0.1955175	0.7157207	0.03747329	0.4914272	0.07802916	0.0258796	0.159758	0.814362	0.114482	0.133258	0.135419
2	-15711.14	-15706.72	-4.427806	0.214826	0.229847	0.235826	0.1232407	-2.16734	-2.01547	-1.9609	1.132428	0.2108639	0.7157207	0.03747329	0.4914272	0.09792211	0.0258796	0.159758	0.814362	0.114482	0.133258	0.140732
3	-14925.15	-14920.89	-4.25931	0.202059	0.225086	0.226295	0.104721	-2.10643	-1.89409	-1.88409	1.242382	0.235093	0.7157207	0.02468628	0.4914272	0.07098318	0.115133	0.710727	0.17414	0.121672	0.150456	0.151967
4	-14382.56	-14377.17	-5.390001	0.208109	0.222641	0.236059	0.09429888	-1.95008	-1.82991	-1.73047	2.034551	0.2397552	0.6594323	0.02983278	0.4736606	0.07833399	0.115133	0.710727	0.17414	0.142262	0.160428	0.1772
5	-13763.05	-13758.09	-4.963658	0.208315	0.229962	0.232367	0.07822342	-1.81637	-1.66245	-1.64673	2.034551	0.2397552	0.6647925	0.02983278	0.4736606	0.03050865	0.359256	0.0973643	0.54338	0.162614	0.189674	0.19268
6	-13490.67	-13485.96	-4.711304	0.232685	0.237063	0.23736	0.07138583	-1.60135	-1.57457	-1.57278	2.034551	0.2397552	0.6647925	0.01925546	0.4736606	0.02299583	0.359256	0.0973643	0.54338	0.201624	0.207097	0.207468
7	-12858.86	-12853.96	-4.90125	0.205949	0.211907	0.209856	0.03717579	-1.55605	-1.52136	-1.53317	2.034551	0.2397552	0.7447009	0.02101957	0.4727741	0.02299583	0.359256	0.0973643	0.54338	0.210967	0.218415	0.21585
8	-12527.58	-12522.35	-5.234636	0.185986	0.18072	0.193106	0.009882643	-1.51354	-1.5439	-1.47391	2.034551	0.2397552	0.7704603	0.02345556	0.4727741	0.03597118	0.55913	0.203906	0.236963	0.220129	0.213547	0.229029
9	-12434.05	-12429.42	-4.634657	0.150383	0.171192	0.183452	0.0002289865	-1.67295	-1.54316	-1.47391	1.911653	0.2306632	0.7704603	0.02345556	0.3189799	0.0368871	0.163836	0.766729	0.0694349	0.187693	0.213704	0.229029
10	-12399.13	-12394	-5.128549	0.145878	0.15838	0.195896	0.0001297578	-1.70273	-1.62043	-1.40769	2.109121	0.2306632	0.7704603	0.02158724	0.3189799	0.06359721	0.163836	0.766729	0.0694349	0.182185	0.197813	0.244708
11	-12262.23	-12257.52	-4.704814	0.131417	0.132166	0.213272	0.0001297578	-1.80722	-1.80153	-1.32265	2.309042	0.1530733	0.7966563	0.02158724	0.1901286	0.06359721	0.377515	0.462491	0.159994	0.164109	0.165046	0.266428
12	-12086.87	-12082.34	-4.527074	0.132567	0.124669	0.27353	0.0001297578	-1.7985	-1.85999	-1.07367	2.309042	0.1030352	0.7966563	0.02158724	0.1658318	0.06359721	0.377515	0.462491	0.159994	0.165546	0.155674	0.341751
13	-11949.84	-11945.82	-4.016587	0.106419	0.124669	0.32702	0.0001297578	-2.01844	-1.85999	-0.894986	2.309042	0.04644706	0.7966563	0.02158724	0.1658318	0.04703259	0.281657	0.509813	0.20853	0.132862	0.155674	0.408613
14	-11832.42	-11828.7	-3.726232	0.0936505	0.107173	0.360766	0.0001425717	-2.14657	-2.0115	-0.796778	2.309042	0.04644706	0.7819731	0.02158724	0.1658318	0.0255239	0.281657	0.509813	0.20853	0.116885	0.133788	0.450779
15	-11756.07	-11752.92	-3.146162	0.0794237	0.0982678	0.385997	0.0001425717	-2.31161	-2.09837	-0.729151	2.309042	0.04644706	0.857088	0.009403886	0.1658318	0.01318792	0.281657	0.509813	0.20853	0.0991014	0.122657	0.482318
16	-11679.36	-11676.1	-3.260564	0.0623749	0.0910199	0.464946	0.0001425717	-2.55374	-2.1751	-0.542997	2.309042	0.04644706	0.857088	0.009403886	0.1343007	0.01318792	0.281657	0.509813	0.20853	0.0777904	0.113597	0.581004
17	-11659.5	-11656.25	-3.246321	0.0581026	0.0837435	0.493198	0.0001217416	-2.6245	-2.25831	-0.483948	2.309042	0.04019014	0.857088	0.007903603	0.1343007	0.01474718	0.50721	0.117268	0.375522	0.0724761	0.104527	0.616345
18	-11657.78	-11654.6	-3.173755	0.0570632	0.0836237	0.493078	1.909082e-06	-2.64049	-2.25831	-0.483948	2.309042	0.03963223	0.857088	0.007060756	0.1315701	0.01474718	0.50721	0.117268	0.375522	0.0713266	0.104527	0.616345
19	-11640	-11636.9	-3.09956	0.0512509	0.0719474	0.466869	0.0002384959	-2.75254	-2.412	-0.539073	2.309042	0.03963223	0.857088	0.007060756	0.1176056	0.01474718	0.50721	0.117268	0.375522	0.0637655	0.0896361	0.583289
20	-11632.53	-11629.41	-3.112876	0.0480885	0.0652946	0.48562	0.0005416816	-2.8229	-2.51403	-0.500302	2.309042	0.03963223	0.857088	0.004516582	0.1176056	0.01929841	0.50721	0.117268	0.375522	0.0594335	0.0809411	0.606347
