Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extra[1]	extra[2]	extra[3]	log_speciation[1]	log_speciation[2]	log_speciation[3]	q_12	q_13	q_21	q_23	q_31	q_32	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	speciation[1]	speciation[2]	speciation[3]
0	-40228.55	-40216.36	-12.19061	0.200308	1.42424	3.99344	0.108722	1.33265	3.90186	-2.16734	-2.16734	-2.16734	0.5301312	0.2259944	0.4124957	1.143758	0.1774216	0.1548807	0.483288	0.0345658	0.482146	0.114482	0.114482	0.114482
1	-35375.6	-35363.94	-11.65842	0.197534	1.41664	3.98998	0.105949	1.3193	3.90186	-2.16734	-2.10642	-2.20586	0.5301312	0.1418614	0.4841199	0.5882783	0.1774216	0.3260331	0.298048	0.0469575	0.654994	0.114482	0.121672	0.110156
2	-32288.43	-32277.05	-11.38089	0.209503	1.40634	3.98788	0.101725	1.30854	3.88982	-2.00454	-2.10168	-2.09899	0.5301312	0.1418614	0.6926967	0.2533414	0.2110699	0.3260331	0.111468	0.643568	0.244964	0.134723	0.12225	0.122581
3	-28765.26	-28753.71	-11.55049	0.227073	1.40964	3.97319	0.101725	1.30854	3.88327	-1.85352	-2.06857	-2.1857	0.3896746	0.1418614	0.8241306	0.223082	0.3223004	0.3260331	0.111468	0.643568	0.244964	0.156685	0.126367	0.112399
4	-24665.03	-24652.34	-12.68418	0.210935	1.40726	3.96574	0.0855866	1.30617	3.87514	-1.85352	-2.06857	-2.17819	0.2167859	0.1418614	1.291675	0.106053	0.6891099	0.6617434	0.204085	0.576485	0.21943	0.156685	0.126367	0.113247
5	-23112.64	-23098.55	-14.08754	0.210935	1.40871	3.95209	0.0855866	1.30238	3.86574	-1.85352	-2.01803	-2.22626	0.2167859	0.09564627	1.700951	0.06442055	1.212558	1.036212	0.204085	0.576485	0.21943	0.156685	0.132917	0.107932
6	-22306.06	-22290.28	-15.78685	0.21357	1.41606	3.96881	0.0855866	1.30238	3.86615	-1.83271	-1.95119	-2.05319	0.2167859	0.06685863	2.225805	0.02578958	1.934588	1.592194	0.204071	0.576514	0.219415	0.159979	0.142104	0.128325
7	-21850.75	-21832.5	-18.25125	0.225253	1.40892	3.97529	0.0855866	1.29524	3.85214	-1.74535	-1.95119	-1.87124	0.2167859	0.05197481	2.906311	0.02578958	2.393688	2.561025	0.277522	0.424089	0.298389	0.174583	0.142104	0.153933
8	-21350.07	-21329.27	-20.80033	0.258082	1.42639	3.98637	0.0855866	1.29524	3.84864	-1.53424	-1.80828	-1.75935	0.209051	0.04638684	2.906311	0.0359182	2.393688	4.596488	0.277522	0.424089	0.298389	0.215619	0.163936	0.172157
9	-21137.59	-21116.5	-21.08952	0.272342	1.41587	3.99834	0.0846696	1.28609	3.84188	-1.44992	-1.8188	-1.63183	0.209051	0.04638684	2.906311	0.05831655	2.366887	4.596488	0.277522	0.424089	0.298389	0.23459	0.16222	0.195571
10	-20478.49	-20457.72	-20.76622	0.347528	1.41607	3.97682	0.0846696	1.28056	3.82036	-1.113	-1.77554	-1.63183	0.2731997	0.04853971	2.906311	0.05987161	1.765395	4.596488	0.277522	0.424089	0.298389	0.328573	0.169392	0.195571
11	-20043.93	-20023.5	-20.43225	0.359815	1.41025	3.99075	0.0729866	1.28056	3.83665	-1.02573	-1.81942	-1.64702	0.2731997	0.04853971	2.906311	0.05987161	2.320561	3.62991	0.277522	0.424089	0.298389	0.358535	0.16212	0.192624
12	-19528.55	-19510.09	-18.4586	0.391804	1.38029	3.98966	0.0603327	1.27065	3.82554	-0.881072	-1.98734	-1.58401	0.2731997	0.04505801	2.906311	0.05987161	1.332233	2.989935	0.277522	0.424089	0.298389	0.414339	0.137059	0.20515
13	-19232.43	-19217.21	-15.22353	0.398185	1.37131	3.97978	0.050924	1.26857	3.82248	-0.834536	-2.05239	-1.62649	0.2731997	0.03415619	2.026437	0.0618568	1.085984	1.606962	0.405622	0.348896	0.245483	0.434076	0.128427	0.196619
14	-19053.61	-19038.89	-14.71722	0.412876	1.34561	3.96958	0.0472687	1.25045	3.81207	-0.783052	-2.12902	-1.62515	0.2731997	0.03415619	2.026437	0.07880402	0.5757981	1.74903	0.405622	0.348896	0.245483	0.457009	0.118954	0.196882
15	-18718.04	-18703.59	-14.44918	0.428316	1.34492	3.95905	0.0333967	1.25045	3.81207	-0.70593	-2.13626	-1.69434	0.2731997	0.03294065	2.026437	0.07880402	0.5757981	1.533127	0.405622	0.348896	0.245483	0.493649	0.118096	0.183721
16	-18597.53	-18583.63	-13.90144	0.460571	1.34971	3.98399	0.0334633	1.25045	3.81745	-0.627576	-2.08689	-1.56935	0.2731997	0.02949125	1.644123	0.147574	0.4144883	1.382187	0.405622	0.348896	0.245483	0.533884	0.124073	0.20818
17	-18354.51	-18341.59	-12.92263	0.445611	1.33499	3.97583	0.0185036	1.24363	3.81987	-0.627576	-2.16987	-1.63501	0.2731997	0.02458008	1.644123	0.1641595	0.1745835	1.221722	0.488166	0.207932	0.303902	0.533884	0.114193	0.19495
18	-18292.43	-18280.37	-12.06513	0.469958	1.3077	3.96605	0.0185036	1.2376	3.81092	-0.572138	-2.43482	-1.64035	0.2731997	0.02458008	1.644123	0.1641595	0.1809179	0.6171479	0.488166	0.207932	0.303902	0.564318	0.0876131	0.193912
