Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extra[1]	extra[2]	extra[3]	extra[4]	extra[5]	extra[6]	hidden_rate1	hidden_rate2	q_12	q_13	q_21	q_23	q_31	q_32	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	rate_category_prior[6]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation_alpha[1]	speciation_alpha[2]	speciation_alpha[3]	speciation_beta[1]	speciation_beta[2]
0	-22873.83	-22863.97	-9.863491	1.50054	0.612477	0.133509	0.89337	3.04435	0.382975	1.44743	0.0152851	0.0804099	0.773621	1.69794	0.263259	0.8536694	0.666639	0.03899441	1.860604	0.1334124	1.962132	0.002291129	0.8086557	0.270034	0.207344	0.23457	0.156381	0.0433278	0.0883437	0.0663924	0.74649	0.066374	0.149686	1.68301	0.149645	-2.71217	-0.292373	-2.71245	0.812957	0.0789502
1	-20095.63	-20087.2	-8.433134	1.50054	0.713223	0.138021	0.515588	3.27686	0.393148	1.44743	0.0129016	0.0804099	0.395839	1.69794	0.263259	0.5960941	0.6930331	0.03884788	1.504786	0.1351106	1.511046	0.003244992	0.9938254	0.288121	0.221233	0.250282	0.166855	0.04623	0.0272793	0.0663924	0.875402	0.0720144	0.149686	1.97365	0.162361	-2.71217	-0.133072	-2.63089	0.812957	0.0187045
2	-18986.22	-18979.28	-6.949032	1.50274	0.764839	0.14628	0.349017	3.73678	0.441664	1.44743	0.0120606	0.0804099	0.1992	1.69794	0.263259	0.5827669	0.6930331	0.04248725	1.055991	0.1351106	0.9423661	0.003244992	0.9938254	0.123491	0.640145	0.134267	0.0715157	0.0188885	0.0116922	0.0691443	0.940973	0.082338	0.187272	2.54855	0.223006	-2.67156	-0.0608412	-2.49692	0.996365	0.0872856
3	-17526.54	-17519.95	-6.596726	1.45023	0.811385	0.123146	0.367991	4.11991	0.410268	1.39452	0.0120606	0.0517559	0.1992	1.69794	0.193955	0.5782987	0.7996561	0.04256648	0.7467239	0.1351106	0.6292671	0.004781757	1.316143	0.0449705	0.610998	0.128154	0.186689	0.0180285	0.0111598	0.0696329	0.999155	0.0892376	0.210989	3.02745	0.270391	-2.66452	-0.000845157	-2.41645	1.10857	0.0872856
4	-15743.13	-15738.39	-4.743222	0.953144	0.942184	0.130753	0.281308	4.52503	0.366476	0.904698	0.00915471	0.0517559	0.134517	1.69794	0.127114	0.5110346	0.8978611	0.03852023	0.6309942	0.1351106	0.3877091	0.004781757	1.145498	0.054798	0.509439	0.15616	0.227487	0.00628394	0.0458322	0.0605571	1.16629	0.0987461	0.183489	3.53386	0.299202	-2.80417	0.153824	-2.3152	1.10857	0.134791
5	-14900.7	-14897.03	-3.668121	0.955545	1.01814	0.118257	0.250231	4.59761	0.292075	0.904698	0.00915471	0.0517559	0.0961642	1.54037	0.090576	0.4635007	1.115475	0.01304775	0.6309942	0.1351106	0.2424386	0.006040215	1.145498	0.054798	0.509439	0.15616	0.227487	0.00628394	0.0458322	0.0635587	1.26123	0.0831262	0.192584	3.82156	0.251874	-2.75579	0.232091	-2.4874	1.10857	0.0416939
6	-14481.49	-14479.54	-1.950291	0.955545	0.949884	0.114166	0.25948	4.60235	0.30331	0.904698	0.0101754	0.0517559	0.0723944	1.14481	0.0736794	0.4287949	1.132833	0.00806252	0.4610148	0.146708	0.2101206	0.004339628	1.072258	0.305753	0.32478	0.132402	0.192877	0.00532791	0.0388594	0.0635587	1.17464	0.0780127	0.233857	4.32193	0.287038	-2.75579	0.160958	-2.55088	1.30274	0.020061
7	-14325.97	-14324.25	-1.727056	0.948505	0.88951	0.0990423	0.239062	4.49032	0.287609	0.904698	0.0101754	0.042813	0.0723944	1.14481	0.0736794	0.4287949	1.333954	0.005968166	0.3440004	0.157429	0.2101206	0.006745833	0.882536	0.308826	0.328044	0.133732	0.184766	0.00538145	0.0392499	0.0547586	1.09917	0.0702866	0.208334	4.18188	0.267412	-2.90482	0.0945535	-2.65517	1.33621	0.020061
8	-14163.87	-14163.27	-0.597884	0.943282	0.88951	0.0937196	0.197843	4.73247	0.258249	0.904698	0.0101754	0.042813	0.0404188	1.14481	0.0505515	0.4141804	1.519729	0.005968166	0.2044976	0.157429	0.1031682	0.008459273	0.5209639	0.308826	0.328044	0.133732	0.184766	0.00538145	0.0392499	0.0482306	1.09917	0.0636332	0.19678	4.48458	0.259622	-3.03176	0.0945535	-2.75462	1.40609	0.020061
9	-13942.18	-13942.04	-0.1379566	0.800464	0.817408	0.0902456	0.170758	4.11502	0.26091	0.769559	0.0143551	0.0406283	0.0397338	0.710387	0.0505515	0.4158377	1.855639	0.005968166	0.2332527	0.1989599	0.1031682	0.009198972	0.5209639	0.335032	0.271025	0.14508	0.200445	0.0058381	0.0425804	0.0386309	1.00382	0.0620216	0.16378	4.2558	0.262948	-3.2537	0.00380844	-2.78027	1.44447	0.00262525
