Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction_alpha[1]	extinction_alpha[2]	extinction_alpha[3]	extinction_beta[1]	extinction_beta[2]	hidden_rate1	hidden_rate2	q_12	q_13	q_21	q_23	q_31	q_32	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	rate_category_prior[6]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation_alpha[1]	speciation_alpha[2]	speciation_alpha[3]	speciation_beta[1]	speciation_beta[2]
0	-28291.61	-28277.43	-14.17866	0.26214	0.0305925	0.0683042	0.0735559	0.00858417	0.019166	-1.33888	-3.487	-2.68378	-1.27083	-0.300183	0.5353048	0.2710986	0.484065	0.2140908	0.7130711	0.007203681	1.126577	1.802768	0.110128	0.276981	0.432924	0.0756612	0.056013	0.0482925	0.175314	0.10935	0.134012	1.84329	1.14973	1.40903	-1.74118	-2.2132	-2.00983	2.35273	1.21749
1	-23629.92	-23615.17	-14.74885	0.26214	0.0305925	0.0671676	0.0752821	0.00878562	0.0192893	-1.33888	-3.487	-2.70056	-1.24764	-0.300183	0.4890824	0.3642786	1.056403	0.2140908	0.5175813	0.00676811	1.126577	1.802768	0.114501	0.287977	0.450112	0.0389636	0.0582368	0.0502098	0.163194	0.10935	0.116311	1.71586	1.14973	1.22292	-1.81281	-2.2132	-2.15149	2.35273	1.21749
2	-21087.89	-21072.08	-15.807	0.26214	0.0277791	0.0684142	0.0867795	0.00919607	0.022648	-1.33888	-3.58347	-2.68217	-1.10551	-0.336681	0.4346574	0.3771168	2.070008	0.2401929	0.5049956	0.004161239	1.126577	1.802768	0.159609	0.401429	0.233478	0.0543137	0.0811798	0.0699904	0.163194	0.102277	0.116311	1.71586	1.07537	1.22292	-1.81281	-2.28007	-2.15149	2.35273	1.21749
3	-19947.8	-19927.86	-19.93821	0.26214	0.0259427	0.0684142	0.0867795	0.00858812	0.022648	-1.33888	-3.65187	-2.68217	-1.10551	-0.365836	0.4346574	0.4454609	3.134655	0.4642176	0.5049956	0.004640028	1.126577	3.648121	0.156589	0.393832	0.22906	0.0532858	0.0985675	0.0686659	0.163194	0.102277	0.118335	1.71586	1.07537	1.2442	-1.81281	-2.28007	-2.13424	2.35273	1.11959
4	-17954.95	-17931.15	-23.79993	0.259103	0.0236621	0.0669574	0.085774	0.00783316	0.0221658	-1.35053	-3.74388	-2.7037	-1.10551	-0.365836	0.4312302	0.5488339	3.134655	0.525948	0.2195167	0.00607932	1.126577	7.409888	0.206796	0.205791	0.296188	0.070371	0.130171	0.0906823	0.163194	0.102277	0.108195	1.61345	1.01118	1.06969	-1.81281	-2.28007	-2.22382	2.29119	1.16416
5	-15276.11	-15254.14	-21.97517	0.268255	0.0236621	0.0669574	0.0888038	0.00783316	0.0221658	-1.31582	-3.74388	-2.7037	-1.10551	-0.433151	0.3636478	0.7324493	3.158134	0.5515877	0.2195167	0.003772973	0.6168212	6.536117	0.206796	0.205791	0.296188	0.070371	0.130171	0.0906823	0.154147	0.0927428	0.109323	1.524	0.916916	1.08084	-1.86985	-2.37793	-2.21345	2.29119	1.0895
6	-13982.47	-13960.45	-22.01661	0.257457	0.0236621	0.0615375	0.0852291	0.00783316	0.0203715	-1.3569	-3.74388	-2.78811	-1.10551	-0.433151	0.309035	0.8339017	3.158134	0.5515877	0.2195167	0.00355848	0.6168212	6.536117	0.21898	0.217916	0.313639	0.0155983	0.137841	0.0960252	0.154147	0.091605	0.109323	1.44744	0.860173	1.02654	-1.86985	-2.39027	-2.21345	2.23965	1.15254
7	-12459.78	-12437.95	-21.83223	0.249904	0.0236621	0.0615375	0.0827289	0.00783316	0.0203715	-1.38668	-3.74388	-2.78811	-1.10551	-0.433151	0.21661	0.9793657	3.158134	1.160732	0.07690095	0.002962162	0.3749918	6.536117	0.223789	0.222702	0.298566	0.0159409	0.140868	0.098134	0.154147	0.0871344	0.109323	1.37381	0.77657	0.974321	-1.86985	-2.4403	-2.21345	2.18744	1.2444
8	-12214.67	-12190.92	-23.75669	0.249904	0.0236621	0.0580223	0.0827289	0.00783316	0.0192078	-1.38668	-3.74388	-2.84693	-1.10551	-0.354762	0.2091134	1.108174	4.619786	1.493128	0.08507722	0.002962162	0.2430933	6.536117	0.221133	0.220059	0.295023	0.0276205	0.139196	0.0969692	0.154147	0.0871344	0.0955846	1.33999	0.757458	0.830915	-1.86985	-2.4403	-2.34774	2.16252	1.2444
9	-12059.05	-12034.19	-24.8587	0.249904	0.0236621	0.0575731	0.0908315	0.00860036	0.0209258	-1.38668	-3.74388	-2.8547	-1.01207	-0.418495	0.1817294	1.163876	4.619786	2.058637	0.119672	0.002575233	0.3185077	6.536117	0.205114	0.107188	0.429167	0.0401793	0.077292	0.14106	0.154147	0.0871344	0.0955846	1.31657	0.744219	0.816392	-1.86985	-2.4403	-2.34774	2.14488	1.33474
10	-11859.67	-11836.19	-23.47567	0.240481	0.027004	0.0551381	0.0874065	0.009815	0.0200408	-1.42511	-3.61177	-2.89791	-1.01207	-0.438818	0.1517136	1.163876	3.421192	2.058637	0.119672	0.003614081	0.3664	6.536117	0.215745	0.136214	0.399774	0.0448698	0.0719984	0.131399	0.154147	0.0860761	0.0958485	1.23991	0.692372	0.770978	-1.86985	-2.45252	-2.34499	2.08489	1.23484
11	-11804.02	-11784.04	-19.97848	0.240481	0.027004	0.0539985	0.0944911	0.0106105	0.0212174	-1.42511	-3.61177	-2.9188	-0.934136	-0.401422	0.1702021	1.303101	2.5933	1.678789	0.119672	0.005522912	0.3664	4.529735	0.196814	0.124262	0.364695	0.0409327	0.153426	0.11987	0.155656	0.0860761	0.0930932	1.23589	0.683433	0.739147	-1.86011	-2.45252	-2.37415	2.0719	1.09111
12	-11728.75	-11708.95	-19.80581	0.217673	0.027004	0.0581978	0.0841174	0.0104354	0.0224899	-1.52476	-3.61177	-2.84391	-0.95078	-0.401422	0.1863876	1.496224	1.887799	1.678789	0.2499116	0.005522912	0.5826627	4.048069	0.140437	0.132984	0.390294	0.0438058	0.164196	0.128283	0.155656	0.0860761	0.0930932	1.23589	0.683433	0.739147	-1.86011	-2.45252	-2.37415	2.0719	1.2377
13	-11721.37	-11701.89	-19.4827	0.217673	0.0274448	0.0581757	0.0841174	0.0106057	0.0224814	-1.52476	-3.59558	-2.84429	-0.95078	-0.401422	0.1676673	1.580435	1.887799	1.177317	0.2499116	0.008227738	0.6357883	4.048069	0.103991	0.0984718	0.289005	0.254276	0.159265	0.0949913	0.155656	0.0860761	0.0936411	1.23589	0.683433	0.743498	-1.86011	-2.45252	-2.36829	2.0719	1.24676
14	-11417.65	-11398.39	-19.26238	0.217673	0.0274448	0.0619241	0.0841174	0.0106057	0.0239299	-1.52476	-3.59558	-2.78185	-0.95078	-0.373717	0.1848135	1.580435	1.887799	1.177317	0.3395971	0.006305652	0.4452037	4.048069	0.0640676	0.0606674	0.178053	0.456673	0.169205	0.071335	0.155656	0.0619136	0.0793417	1.23589	0.491585	0.629962	-1.86011	-2.78202	-2.53399	2.0719	1.16845
15	-11206.79	-11185.53	-21.25725	0.234753	0.0256725	0.0619241	0.0900763	0.00985068	0.0237606	-1.44922	-3.66234	-2.78185	-0.957879	-0.382086	0.2777731	1.496754	3.505228	1.193344	0.3395971	0.006420646	0.4085038	4.048069	0.0623375	0.0590292	0.173245	0.444341	0.164635	0.0964121	0.14426	0.0614358	0.0793417	1.14541	0.487792	0.629962	-1.93614	-2.78976	-2.53399	2.0719	1.16845
16	-11107.91	-11082.17	-25.74472	0.234753	0.0279186	0.0656648	0.0856924	0.0101912	0.0239697	-1.44922	-3.57846	-2.72319	-1.00777	-0.382086	0.3089567	1.496754	7.73795	1.813563	0.3395971	0.009778575	0.5493076	2.793388	0.0383644	0.0605384	0.177674	0.455701	0.168845	0.0988771	0.14426	0.0595589	0.0763866	1.11704	0.461181	0.591483	-1.93614	-2.82079	-2.57195	2.04682	1.16845
17	-10969.33	-10942.85	-26.4844	0.27385	0.0279186	0.0656648	0.108024	0.0110128	0.0259023	-1.29517	-3.57846	-2.72319	-0.930231	-0.370995	0.3284601	1.339402	7.73795	1.072086	0.3578834	0.01540232	0.4333289	4.476295	0.0368424	0.0581366	0.210299	0.437622	0.162146	0.0949543	0.14426	0.0595589	0.0772249	1.0366	0.427969	0.554911	-1.93614	-2.82079	-2.56103	1.97209	1.15735
18	-10908.13	-10876.76	-31.3737	0.27385	0.0279186	0.0606313	0.108024	0.0110128	0.0239168	-1.29517	-3.57846	-2.80294	-0.930231	-0.392647	0.3758378	1.283605	11.57064	1.239353	0.293824	0.01540232	0.3304783	5.41977	0.04555	0.0889957	0.260003	0.298402	0.189654	0.117396	0.14426	0.0595589	0.07908	1.0366	0.427969	0.56824	-1.93614	-2.82079	-2.5373	1.97209	1.10723
