Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extra	log_speciation[1]	log_speciation[2]	log_speciation[3]	q_12	q_13	q_21	q_23	q_31	q_32	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	speciation[1]	speciation[2]	speciation[3]
0	-30479.2	-30477.2	-2.008806	0.573173	0.573173	0.573173	0.4815871	-2.16734	-2.16734	-2.16734	0.3294985	0.02362178	0.5579026	0.04483638	1.690899	0.002854149	0.484868	0.479102	0.0360302	0.114482	0.114482	0.114482
1	-28518.51	-28516.78	-1.724234	0.566049	0.550302	0.557969	0.4587166	-2.00868	-2.16734	-2.08695	0.5692725	0.04190145	0.5579026	0.04483638	0.917066	0.002854149	0.560653	0.408618	0.0307295	0.134166	0.114482	0.124065
2	-27660.87	-27658.59	-2.27743	0.561997	0.553699	0.552358	0.4531054	-1.99426	-2.07352	-2.08695	1.076934	0.08387888	0.4299791	0.06072988	0.578903	0.002854149	0.254154	0.185234	0.560613	0.136115	0.125742	0.124065
3	-26633.56	-26630.9	-2.65727	0.55456	0.540937	0.542279	0.4339909	-1.89239	-2.01228	-1.99982	1.076934	0.1105049	0.4299791	0.06797421	0.4886896	0.005444308	0.254154	0.185234	0.560613	0.150711	0.133683	0.13536
4	-25582.38	-25580.41	-1.975121	0.530291	0.516655	0.516766	0.408478	-1.88212	-2.00085	-1.99982	1.076934	0.1105049	0.4081737	0.02796754	0.3393163	0.008343433	0.254154	0.185234	0.560613	0.152267	0.135221	0.13536
5	-24452.45	-24451.03	-1.418516	0.527323	0.512678	0.52095	0.3912442	-1.77137	-1.88525	-1.81934	1.076934	0.07937074	0.4081737	0.01861113	0.2443095	0.009355866	0.254154	0.185234	0.560613	0.170099	0.151792	0.162133
6	-23060.69	-23059.25	-1.437684	0.514187	0.495517	0.506057	0.3627145	-1.66421	-1.79575	-1.71937	1.076934	0.07937074	0.4081737	0.01861113	0.2443095	0.008943259	0.254154	0.185234	0.560613	0.189341	0.166004	0.179178
7	-22405.75	-22404.21	-1.540816	0.505153	0.509356	0.502879	0.3536807	-1.66421	-1.63684	-1.67934	1.076934	0.08665357	0.4081737	0.01861113	0.2443095	0.008943259	0.391937	0.285654	0.322409	0.189341	0.194594	0.186498
8	-21439.54	-21438.58	-0.9554382	0.495363	0.495488	0.511321	0.3353873	-1.60959	-1.60881	-1.51451	1.076934	0.08665357	0.3552164	0.01251273	0.1710109	0.007649681	0.391937	0.285654	0.322409	0.199969	0.200126	0.219917
9	-20434.13	-20433.2	-0.9353405	0.483048	0.490444	0.510145	0.3152767	-1.56201	-1.51887	-1.41229	1.076934	0.08665357	0.3219151	0.01251273	0.1662399	0.007649681	0.451115	0.328784	0.2201	0.209714	0.218959	0.243585
10	-18710.51	-18709.9	-0.6051003	0.469133	0.445495	0.465196	0.270328	-1.39229	-1.51887	-1.41229	1.050072	0.06980312	0.3670886	0.008780481	0.1397622	0.007649681	0.451115	0.328784	0.2201	0.248507	0.218959	0.243585
11	-18197.94	-18198.32	0.3759015	0.481658	0.450596	0.464378	0.2632763	-1.29837	-1.4518	-1.3808	1.050072	0.0675635	0.3491765	0.005423925	0.09351337	0.00270761	0.451115	0.328784	0.2201	0.272977	0.234149	0.251377
12	-16885.36	-16886.31	0.9505945	0.448655	0.433466	0.431375	0.2302736	-1.29837	-1.37046	-1.3808	1.050072	0.03446003	0.3280865	0.005423925	0.08595587	0.002227448	0.332344	0.505505	0.162151	0.272977	0.253991	0.251377
13	-15648.98	-15650.36	1.385805	0.428722	0.39599	0.400734	0.1927975	-1.2211	-1.37046	-1.34738	0.8520266	0.03003025	0.3280865	0.005423925	0.07779046	0.002160109	0.269779	0.598596	0.131626	0.294906	0.253991	0.259921
14	-15074.4	-15075.92	1.516896	0.428746	0.403529	0.410739	0.1792976	-1.16536	-1.27193	-1.24028	0.8599174	0.03003025	0.3280865	0.005423925	0.07434439	0.001274317	0.269779	0.598596	0.131626	0.31181	0.28029	0.289302
15	-14428.46	-14430.28	1.826166	0.431149	0.40434	0.393283	0.1618414	-1.08876	-1.19361	-1.24028	0.9028629	0.02002922	0.3280865	0.00340249	0.06778929	0.001378023	0.244001	0.134157	0.621841	0.336635	0.303124	0.289302
16	-13745.03	-13747.83	2.800972	0.434303	0.404218	0.420631	0.1436137	-1.01236	-1.12161	-1.06053	0.9028629	0.003841589	0.3280865	0.00340249	0.05004045	0.0009564105	0.244001	0.134157	0.621841	0.363362	0.325755	0.346272
17	-13173.21	-13176.46	3.253188	0.413472	0.396605	0.415775	0.1200352	-1.00295	-1.06215	-0.995133	0.7899679	0.002197509	0.3280865	0.002930948	0.03524277	0.001427373	0.190527	0.104756	0.704717	0.366796	0.345713	0.369674
18	-12828.89	-12832.33	3.43884	0.416575	0.379484	0.438049	0.1029142	-0.936298	-1.06215	-0.87008	0.807974	0.002023608	0.3280865	0.002930948	0.01927981	0.001427373	0.190527	0.104756	0.704717	0.392077	0.345713	0.418918
19	-12276.03	-12279.47	3.445314	0.420602	0.347906	0.384226	0.04909215	-0.767037	-0.98479	-0.87008	0.807974	0.002023608	0.3280865	0.002560419	0.01161301	0.002034754	0.190527	0.104756	0.704717	0.464387	0.373518	0.418918
20	-12171.47	-12174.8	3.327745	0.397527	0.323885	0.311083	0.03966964	-0.804479	-1.03488	-1.08097	0.8060828	0.002128421	0.2857776	0.002560419	0.01440743	0.004260608	0.190527	0.104756	0.704717	0.447321	0.355269	0.339266
21	-12055.58	-12059.64	4.060437	0.360975	0.287986	0.279823	0.03344987	-0.893046	-1.14517	-1.17777	0.7759274	0.001291666	0.2857776	0.002113955	0.01440743	0.003607625	0.190527	0.104756	0.704717	0.409407	0.318171	0.307966
22	-11967.44	-11971.56	4.119948	0.323368	0.274752	0.246108	0.02021534	-0.970376	-1.14517	-1.26455	0.7553081	0.001671175	0.2857776	0.001778225	0.01440743	0.004234936	0.190527	0.104756	0.704717	0.378941	0.318171	0.282365
23	-11838.83	-11843.21	4.386261	0.282706	0.241232	0.218462	0.001365599	-1.04505	-1.20453	-1.30427	0.7553081	0.001547143	0.2664881	0.00174317	0.01428748	0.004234936	0.553772	0.304476	0.141752	0.351675	0.299833	0.271371
24	-11809.7	-11814.45	4.74669	0.249871	0.241232	0.208729	0.001365599	-1.16915	-1.20453	-1.35014	0.7553081	0.001736461	0.2664881	0.00174317	0.01467916	0.002291629	0.596503	0.327971	0.075526	0.310631	0.299833	0.259204
25	-11714.39	-11719.92	5.534058	0.237258	0.204981	0.206863	0.0004395129	-1.21732	-1.36384	-1.35468	0.7488543	0.0007634641	0.2664881	0.00136517	0.01467916	0.001869642	0.596503	0.327971	0.075526	0.296023	0.255676	0.258029
26	-11659.9	-11665.69	5.781059	0.217201	0.182015	0.185634	0.0002120737	-1.30477	-1.48169	-1.46198	0.7488543	0.0007634641	0.2664881	0.00158733	0.01263965	0.001641056	0.596503	0.327971	0.075526	0.271236	0.227254	0.231777
27	-11644.32	-11650.39	6.07676	0.219709	0.172439	0.196265	0.0002120737	-1.29327	-1.5358	-1.40623	0.7488543	0.0004238031	0.2664881	0.00158733	0.01670909	0.001202953	0.596503	0.327971	0.075526	0.274371	0.215284	0.245066
28	-11606.7	-11613.15	6.447512	0.191783	0.135315	0.192679	0.0002120737	-1.42935	-1.77857	-1.42469	0.6054583	0.0003890663	0.2664881	0.002091161	0.0147544	0.001269034	0.596503	0.327971	0.075526	0.239464	0.168879	0.240584
29	-11585.03	-11590.87	5.846491	0.238968	0.135315	0.190054	0.0002120737	-1.20917	-1.77857	-1.43842	0.6054583	0.0005446897	0.2664881	0.002302255	0.0189615	0.001633898	0.596503	0.327971	0.075526	0.298445	0.168879	0.237302
30	-11530.38	-11536.45	6.078372	0.25179	0.1068	0.18465	0.0002120737	-1.15686	-2.01565	-1.4673	0.6054583	0.0005583718	0.2715889	0.001851481	0.01487597	0.001633898	0.735294	0.215159	0.0495473	0.314472	0.133234	0.230547
31	-11484.26	-11490.25	5.991359	0.286555	0.093247	0.187376	0.0002120737	-1.02742	-2.15164	-1.45263	0.6054583	0.0005072531	0.2715889	0.002334077	0.01635945	0.001259882	0.735294	0.215159	0.0495473	0.357929	0.116294	0.233955
